번호(Q_no),문제유형(Q_form),질문(Q_string),보기()E_string,보기()E_string,보기()E_string,보기()E_string,정답(A_ans),정답 이형태(A_synonym),정답 근거(AP_sent),위키피디아 제목(AP_title),정답 출처(AP_origin),
11,객관식,채무자가 자신의 재산을 함부로 처분할 가능성이 큰 경우 채무자의 재산을 임시로 확보하는 조치가 필요하다. 이 조치는 무엇일까?,공증,가압류,소송,강제 집행,가압류,압류,"압류는 채권자의 금전적 청구권의 내용을 실현하고 그 만족을 얻기 위하여 어느 재산을 확보하는 국가집행기관의 강제적 행위이다. 이와 같이 압류는 채권자의 금전적 청구권의 만족실현을 목적으로 하므로 그 목적을 달성하기 위하여 압류대상이 되는 것을 국가기관의 수중에 넣어 자유처분할 수 있는 상태를 조성함으로써 장래 채권자에게 만족을 주기 위하여 실시될 각종의 강제집행행위(환가·배당)의 준비와 기초를 마련하여야 하는바, 이 재산의 확보는 압류대상의 점유나 그 처분권의 박탈에 의하여 실시된다.",강제집행,한국어 위키피디아,
12,객관식,꿀벌은 꿀이 있는 꽃의 위치를 다른 벌들에게 알릴 때 춤을 추듯이 움직여 알린다고 하는 데 무엇일까?,수직왕복 춤,8자 춤,수평왕복 춤,무한회전 춤,8자 춤,,일벌이 먹이가 있는 곳을 팔(8)자모양의 춤으로 알려주어서 공유할만큼 공동체의식이 강하다.,꿀벌,한국어 위키피디아,
13,객관식,도시 이름 중 가리키는 대상이 다른 하나는 무엇일까?,비잔티움,이스탄불,알레산드리아,콘스탄티노플,알레산드리아,,"
이스탄불(터키어: ?stanbul, 문화어: 이스딴불)은 현재 터키에서 최대 도시이다. 행정상 이스탄불 주에 속해 있다. 터키 서부에 있고 마르마라해와 흑해를 연결하는 보스포루스 해협을 가운데에 두고 아시아와 유럽 양 대륙에 걸쳐 있다. 
동로마 제국 시대에는 콘스탄티노폴리스라고 불렀으며 오스만 제국 때까지 수도로 존속하다가 현재 이름으로 개칭되었다. 
로마 제국 시대에는 라틴어 이름인 비잔티움으로 불렸다.",이스탄불,한국어 위키피디아,
14,객관식,이것은 보통 악기의 현에 바르는 것으로 현과 활털 사이의 마찰력을 가감시켜 소리가 나게 하는 역할을 한다. 이것은 무엇일까?,리드,송진,오일,약음기,송진,,활털은 말 꼬리털(말총)을 표백하여 빗질한 것을 굵기가 고르게 맞추어 쓴다. 여기에 송진을 발라 현을 마찰시켜 음을 낸다,비올라,한국어 위키피디아,
15,객관식,"국권이 쇠퇴하던 시기 우리말을 지키기 위해 활동한 단체다. 우리말 표기법 통일을 위해 주시경, 지석영 등의 주도로 설립해 우리말의 문자 체계와 표기법 통일안 등을 연구하고 정리한 단체는 무엇일까?",국문 연구소,조선 광문회,기호 흥학회,조선사 편수회,국문연구소,국문 연구소,"국문연구소(國文硏究所)
1907년(광무 11) 7월에 학부에 설치되었던 국문연구기관. 주시경, 어윤적(魚允迪), 지석영, 이능화(李能和), 윤돈구(尹敦求), 권보상(權輔相), 이억(李億), 송기용(宋綺用) 등이 위원으로 활동했으며, 약 3년 동안 20여 회에 걸쳐 국문통일에 대한 토의를 했으나, 당시의 불안정한 정국으로 말미암아 건의된 안의 실시를 보지 못했다.",한국어 운동의 역사,한국어 위키피디아,
16,객관식,올해는 갑오년이다. 그렇다면 을미년인 해는 무엇인가?,1895년,2003년,1954년,1919년,1895년,,1895년,을미,한국어 위키피디아,
17,객관식,총 길이는 4500km로 북아메리카 대륙 서부에 있는 산맥이다. 미국과 캐나다에 걸쳐 뻗어있으며 최고봉인 알버트 산이 있는 이 산맥은 어디일까?,우랄산맥,피레네산맥,로키산맥,알프스산맥,로키 산맥,로키산맥,"로키 산맥(Rocky Mountains, 문화어: 록키 산줄기)은 북아메리카 서부에 있는 산맥이다. 캐나다의 브리티시컬럼비아 주에서 미국의 뉴멕시코 주까지 남북으로 4,800km에 걸쳐 뻗어있다. 가장 높은 봉우리는 콜로라도 주의 엘버트 산으로, 해발 4,401m이다.",로키 산맥,한국어 위키피디아,
18,객관식,높은 소리를 내는 목관악기라는 뜻이 담겨 있는 악기로 겹리드를 사용한다. 오케스트라에서 연주 전 조율을 위해 기준을 삼는 이 악기는 무엇일까?,피콜로,클라리넷,바순,오보에,오보에,,"오보에(이탈리아어: oboe)는 겹리드를 사용하는 목관악기 중 하나다. 오보에는 '높은 소리의 나무 피리'라는 뜻의 프랑스어 hautbois(오부아)에서 나왔다. 
다른 목관악기에 비하여 음높이의 미조율(微調律)의 폭이 매우 좁아서 오케스트라에서는 다른 악기는 오보에에 맞춰 조율한다.",오보에,한국어 위키피디아,
19,객관식,소설 어린왕자에서 비행사가 비행기 고장으로 불시착해 어린왕자를 만나는 사막은 어디일까?,고비사막,나미브사막,사하라사막,아타카마사막,사하라 사막,사하라사막,《어린 왕자》는 《인간의 대지》처럼 생텍쥐페리 자신이 사하라 사막에서 겪은 경험에서 얻은 영감을 바탕으로 쓴 것으로 보인다.,어린 왕자,한국어 위키피디아,
20,객관식,교향곡의 아버지로도 불리는 프란츠 요제프 하이든이 작곡한 교향곡은 무엇일까?,영웅교향곡,놀람교향곡,전원교향곡,합창교향곡,교향곡 94번,놀람교향곡,"《교향곡 94번 G 장조 ""놀람""》(Hob. 1/94)은 요제프 하이든가 1791년에 작곡한 교향곡이다. 그의 12개의 소위 런던 교향곡 가운데 두 번째 작품이다. 
하이든은 그의 작품에서 종종 익살과 해학을 보여주곤 했는데, 이 작품의 ""놀람""이라는 별명도 그런 이유로 붙게 되었다. 즉, 고요하게 시작된 두 번째 악장에서 갑자기 팀파니와 더불은 큰 소리의 화음이 나오는데, 이를 본딴 것이 바로 ""놀람""이라는 별명이다.",교향곡_94번_(하이든),한국어 위키피디아,
21,객관식,신라 화랑들이 지켰던 원광의 세속 오계에서 언급한 대상이 아닌 것은 무엇일까?,임금,형제,친구,부모,형제,,"사군이충(事君以忠) : 충성으로써 임금을 섬기어야 한다.
사친이효(事親以孝) : 효로써 부모를 섬기어야 한다.
교우이신(交友以信) : 믿음으로써 벗을 사귀어야 한다.
임전무퇴(臨戰無退) : 싸움에 나가서 물러남이 없어야 한다.
살생유택(殺生有擇) : 살아있는 것을 죽일 때에는 가림이 있어야 한다.",세속 오계,한국어 위키피디아,
22,객관식,인체의 기관들로 두 개씩 존재하는 기관이 아닌 것은 무엇일까?,부신,난소,콩팥,췌장,췌장,"이자, 이장","이자(?子, pancreas) 또는 췌장(膵?)은 소화 및 분비 기관으로, 위 아랫쪽 쓸개 옆에 붙어 있다.",이자 (해부학),한국어 위키피디아,
23,객관식,열을 가장 잘 전달하는 물질은 무엇일까?,은,구리,알루미늄,철,구리,"구리쇠, 동, 적금","구리, 구리쇠, 동(銅) 또는 적금(赤金)은 화학 원소로 기호는 Cu(←라틴어: cuprum 쿠프룸), 원자 번호는 29이다.
구리는 붉은 빛을 띠는 금속으로 전기와 열의 전도성이 뛰어나다.",구리,한국어 위키피디아,
24,객관식,은하수의 다른 말이 아닌 것은 무엇일까?,미리내,은한,우리 은하,희나리,희나리,,"은하수(銀河水)는 태양계가 속해있는 은하(우리 은하)이다. 국부은하군의 일부인 막대 나선 은하로, 관측 가능한 우주에 있는 수십억 은하 가운데 하나이다. 고유어로는 미리내(龍川), 한자로는 銀漢(은한)이라고도 한다.",은하수,한국어 위키피디아,
25,객관식,675년 신라는 이 전투에서 삼국을 차지하려던 당나라 군대를 격퇴한다. 신라가 삼국통일을 이루는 기반이 된 이 전투는 무엇일까?,안시성전투,황산벌전투,매소성전투,백강전투,매소성 전투,매소성전투,"매소성 전투는 나당 전쟁 당시 675년 신라와 당나라가 매소성에서 벌인 전투로, 신라는 이 전투에서 당나라 20만 대군을 격파하여 그 간의 패배를 만회하고 나당 전쟁의 전세를 역전시켰다.",매소성 전투,한국어 위키피디아,
26,객관식,음악용어 중 노래하듯이를 나타내는 말은 무엇일까?,cantabile,appassionato,dolce,amabile,칸타빌레,cantabile,"칸타빌레(이탈리아어: Cantabile)는 음악 용어 중 하나로, '노래하듯이'라는 뜻이다.",칸타빌레,한국어 위키피디아,
27,객관식,금강산은 계절에 따라 독특하고 매혹적인 장면을 연출해 계절마다 다른 이름을 가지고 있다. 여름의 금강산을 표현한 이름은 무엇일까?,금강산,봉래산,개골산,풍악산,봉래산,,"봄의 이름인 금강을 포함해 여러 가지 이름이 있지만 현재는 대개 금강산이라 불리며, 계절에 따라 여름에는 봉래산(蓬萊山 신선이 사는 산 중 하나), 가을에는 풍악산(楓嶽山 단풍 든 큰 산, 楓岳山 단풍 언덕 산), 겨울에는 개골산(皆骨山 바위 뼈 산)으로 불렸다.",금강산,한국어 위키피디아,
28,객관식,중국 혁명 동맹회를 조직한 쑨원이 내세운 삼민주의의 내용이 아닌 것은 무엇일까?,민권,민족,민생,민본,민본,,"삼민주의(중국어 정체: 三民主義 산민주이)는 쑨원이 발표한 초기 중화민국 정치 강령으로, 민족주의(民族主義), 민권주의(民權主義), 민생주의(民生主義)를 뜻한다.",삼민주의,한국어 위키피디아,
29,객관식,4개의 현을 가진 악기로 현악기 중 가장 높은 음역을 담당하고 오케스트라에서 주된 가락을 연주하는 악기는 무엇일까?,바이올린,비올라,첼로,더블베이스,바이올린,,"바이올린(독일어: violine, 프랑스어: violon, 영어: violin)은 완전 5도로 조율하는 현이 넷인 찰현악기이다. 비올라, 첼로와 더불어 바이올린족 악기에 속하며, 그중 가장 높은 소리를 낸다.",바이올린,한국어 위키피디아,
30,객관식,전남 신안군에 속해 있는 이 섬은 섬 전체가 천연기념물이다. 섬의 절경과 그 곳에 서식하는 다양한 동식물을 보존하기 위해 1965년에 천연기념물 제 170호로 지정한 이 섬은 무엇일까?,흑산도,비금도,홍도,완도,홍도,,"홍도(紅島)는 전라남도 신안군에 있는 섬이다. 
섬 전체가 1965년에 천연기념물 170호로 지정되었다.",홍도,한국어 위키피디아,
31,객관식,"진흥왕은 화랑도를 개편해 국가 조직으로 만들었으며, 신라의 영토를 크게 확장했다. 특히 한강 유역을 장악함으로써 삼국 경쟁의 주도권을 쥐었고, 바다를 통해 중국과 직접 교류할 수 있었다. 진흥왕의 영토 확장을 알 수 있는 비석이 아닌 것은 무엇일까?",황초령비,창녕비,북한산비,울진봉평신라비,울진봉평신라비,,"진흥왕 순수비(眞興王巡狩碑)는 신라 진흥왕이 재위 기간 중 영토 확장 사업을 하면서, 그 확장된 곳을 돌아보면서(순수(巡狩)) 세운 비석을 가리킨다. 현재 북한산비, 황초령비, 마운령비, 창녕비가 남아 있다.",진흥왕 순수비,한국어 위키피디아,
32,객관식,꽃이 아름다운 색깔을 띠는 것은 색소 때문이다. 붉은 장미나 붉게 물든 단풍잎 등 붉은 계열의 색을 내는 이 색소는 무엇일까?,플라빈,안토시아닌,퀘르세틴,루틴,안토시아닌,,"안토시아닌(anthocyanin)는 꽃이나 과실 등에 주로 포함되어있는 색소를 말한다. 수소 이온 농도에 따라 빨간색, 보라색, 파란색 등을 띤다.",안토시아닌,한국어 위키피디아,
33,객관식,이 동물은 천연기념물 제 540호로 꼬리가 짧거나 없는 것이 특징이다.  옛 문헌에 자주 등장했으며 신라 고분에서 토우로 발견되는 등 역사적 가치가 크다고 한다. '동경이'라는 이름으로도 잘 알려진 이 동물은 무엇일까?,풍산개,삽살개,경주개,진돗개,경주개,"댕견, 동경개","동경이는 한국의 개 품종이다. 댕견 혹은 동경개(東京犬)라고도 한다. 
동경이는 《동경잡기(東京雜記)》, 《증보문헌비고(增補文獻備考)》 등 옛 문헌을 통해서 경주 지역에서 널리 사육되었던 개로 알려졌고 신라 고분에서 토우로 발굴되는 등 그 역사와 문화적 가치가 크다. 현재 경주에서 사육되고 있는 경주개 동경이는 단미(短尾, 꼬리가 짧음)·무미(無尾, 꼬리가 없음)를 특징으로 하여 문헌 기록과 일치하고 유전자 분석결과 한국 토종개에 속하는 것으로 밝혀졌다.",동경이,한국어 위키피디아,
34,객관식,"우리나라 예법은 크게 관례, 혼례, 상례, 제례로 나뉜다. 이 중 '관례'란 오늘날 어떤 의식과 관련이 있을까?",환갑,성인식,명절,시험,성인식,,"관례(冠禮), 또는 원복(元服)은 동아시아의 유교 문화권 국가(중국, 한국, 베트남 및 일본)에서 이루어지던 관혼상제의 하나로서, 원시 사회에서 미성년자를 한 사람의 성인(成人)으로서 인정하던 성인식에서 유래하였으며, 주로 20세가 되는 남자(여자의 경우는 15세)에게 거행되었다.",관례,한국어 위키피디아,
35,객관식,허블의 분류에 따르면 우리 은하는 어떤 종류에 속할까?,타원 은하,렌즈 은하,막대나선 은하,불규칙 은하,막대나선은하,막대나선 은하,"우리 은하는 지름이 약 30kpc, 두께가 약 1kpc인 막대 나선은하에 속한다.",은하,한국어 위키피디아,
36,객관식,고대 그리스의 철학자 플라톤이 세운 아카데미아 입구에는 '이 학문을 모르는 사람은 이 문으로 들어올 수 없다'는 문구가 새겨져 있다고 한다. 특히 탈레스와 피타고라스의 노력에 의해 크게 발전한 이 학문은 무엇일까?,미적분학,기하학,대수학,이산수학,기하학,,"기원전 387년, 철학자 플라톤은 이곳에 학원을 지으면서 지명인 「아카데메이아」를 그대로 학원의 이름으로 가져다 썼다(아리스토텔레스의 「리케이온」도 같다).
산술, 기하학, 천문학 등을 가르치고, 일정한 예비훈련을 거쳐 이상적인 통치자가 받아야 할 철학을 가르쳤다. 특히 기하학은 감각이 아니라 사유에 의한 앎을 가르치는데 필수적이라는 판단으로, 학원 입구에는 「기하학을 모르는 자는 이 문으로 들어오지 마라」는 간판이 걸려 있었다고 한다.",아카데메이아,한국어 위키피디아,
37,객관식,스페인 동부 지역의 '부뇰'에서는 이 농작물의 가격이 폭락하자 농민들이 항의의 표시로 이 농작물을 으깨고 던진 것에서 유래한 축제가 매년 열린다. 이 농작물은 무엇일까?,토마토,오렌지,포도,올리브,토마토,,"토마티나(La Tomatina)는 스페인 발렌시아 주의 도시 부뇰에서 8월 마지막 수요일에 열리는 추수 감사절로, 일명 토마토 축제이다. 축제 기간 동안 만큼은 전 세계에서 도시 인구의 배 이상의 사람이 모여 서로 잘 익은 토마토를 서로 던진다.",토마티나,한국어 위키피디아,
38,객관식,순우리말 '가시버시'는 어떤 관계를 가리키는 것일까?,형제,부부,자매,부자,부부,,부부(夫婦)란 결혼한 남녀로 남편과 아내를 말한다. 순수한 한국어로 가시버시라는 말은 부부를 겸손하게 이르는 말이다.,부부,한국어 위키피디아,
39,객관식,"이곳에서는 '헐버트', '길모어' 등의 미국인 교사를 초빙해 양반 자제들에게 신지식과 외국어를 가르쳤다. 우리나라의 최초의 근대적 관립 학교이며 '젊은 영재를 기르는 공립학교'라는 뜻의 이곳은 어디일까?",배재학당,이화학당,육영공원,원산학사,육영공원,,"육영공원(育英公院)은 1886년(고종 23년)에 설립된 한국 최초의 근대적 공립 학교이다.
교사 중 한 명인 길모어의 증언에 따르면, 학생들은 처음에는 매우 열심이었고 교사들도 신이 나서 가르쳤다고 한다.
또 한 명의 교사였던 호머 헐버트는 개교한 지 1주일 만에 육영공원의 설립과 출발에 대한 글을 뉴욕 트리뷴에 기고하여 1886년 10월 1일 한국의 교사들이라는 글이 실렸다.",육영공원,한국어 위키피디아,
40,객관식,식물 세포에만 존재하는 세포의 소기관은 무엇일까?,세포벽,리보솜,소포체,미토콘드리아,세포벽,,"세포벽(細胞壁)은 식물 세포의 가장 바깥층을 에워싸고 있는 약간 두꺼운 막으로, 변형균을 제외한 모든 식물 세포에 존재한다. 동물 세포에는 원색 동물의 일부 가운데 가장 바깥 부분이 다당류 층으로 에워싸인 세포가 있는데, 식물 세포의 세포막과는 완전히 다르다.",세포벽,한국어 위키피디아,
41,객관식,이것은 이 세상을 선한 신과 악한 신의 대립으로 보았으며 '배화교'라고도 불렸다. 고대 페르시아인들이 널리 믿었던 이 종교는 무엇일까?,브라만교,조로아스터교,이슬람교,유대교,조로아스터교,마즈다교,"조로아스터교(Zoroastrianism), 마즈다교(Mazdaism) 혹은 배화교(拜火敎)의 창시는 기원전 1800년에서 기원전 640년경으로 다양하다.",조로아스터교,한국어 위키피디아,
42,객관식,이것은 포르투갈어로 '새로운 경향' 또는 '새로운 감각'을 뜻하는 말이다. 삼바에 재즈 감각을 가미해 만든 음악인 이것은 무엇일까?,블루스,스윙,비긴,보사노바,보사노바,,"보사노바(포르투갈어: Bossa Nova, 새로운 성향)는 브라질 대중음악의 한 형식으로 1960년대에 브라질의 세계적인 작곡가 안또니우 카를루스 조빙(Antonio Carlos Jobim), 보사 노바의 신이라 불리는 주앙 지우베르투(Jo?o Gilberto)가 발전시켰다.
삼바(Samba)에서 나온 음악 형식이지만, 삼바보다 멜로디가 더 감미롭고, 타악기가 덜 강조된다. 이 장르는 재즈에서 큰 영향을 받았고, 1960년대에 미국, 브라질에서 크게 유행했다.",보사노바,한국어 위키피디아,
43,객관식,별의 진화 단계 중 대부분의 별들이 일생의 90% 이상을 머무는 단계는 무엇일까?,원시별,백색왜성,거성,주계열성,주계열성,왜성,"주계열은 색등급도에서 오른쪽 아래에서 왼쪽 위를 크게 가로지르며, 주계열 위에 위치한 별을 주계열성(主系列星, main sequence star) 또는 왜성(矮星, dwarf star)이라고 부른다.
주계열은 대부분의 항성의 일생에서 가장 긴 시간을 차지하는 진화 단계이며, 주계열성은 수소핵융합으로 헬륨과 에너지를 만들어낸다. ",주계열,한국어 위키피디아,
44,객관식,"4세기 후반부터 5세기 초반까지 요동과 만주 지역으로 영토를 넓혔으며 후연, 거란 등 여러 부족을 격파하는 등, 대국을 건설한 자신감을 바탕으로 광개토대왕이 독자적으로 사용한 연호는 무엇일까?",영락,인안,건원,광덕,영락,,광개토왕릉비에는 연호인 영락(永樂)을 왕호로 사용한 영락태왕(永樂太王) 이 기록되어 있기도 하다.,광개토왕,한국어 위키피디아,
45,객관식,"이것은 여러 종류의 바이러스 중에서 겨울철 식중독의 원인으로 손꼽히는 바이러스다. 이 바이러스에 오염된 식품을 먹으면 구토, 설사, 복통, 위장염 등의 증세가 나타나는데 이것은 무엇일까?",아데노 바이러스,에볼라 바이러스,코로나 바이러스,노로 바이러스,노로바이러스,노로 바이러스,"노로바이러스(Norovirus)는 비세균성 급성위장염을 일으키는 바이러스의 한 종류이다. 
이 바이러스는 세계의 거의 90%의 위장염을 유발한다. 굴 등의 조개류에 의한 식중독의 원인이 되기도 하고, 감염된 사람의 분변이나 구토물에 의해 발견되기도 한다.",노로바이러스,한국어 위키피디아,
46,객관식,"지난 4월, 콜롬비아의 노벨상 수상 작가인 '가브리엘 가르시아 마르케스'의 타계 소식이 전해졌다. '가브리엘 가르시아 마르케스'의 작품은 무엇일까?",고도를 기다리며,백 년 동안의 고독,눈먼 자들의 도시,세일즈맨의 죽음,백년 동안의 고독,백 년 동안의 고독,"그의 대표작이기도 하며 또한 그를 콜롬비아의 세르반테스라고 일컫게 한 <백년 동안의 고독>은 마콘도(Ma­condo)라는 가공의 땅을 무대로 하여 부엔디아 일족의 역사를 그린 작품이며, 그의 노벨 문학상 수상에 영향을 주었다.",가브리엘 가르시아 마르케스,한국어 위키피디아,
47,객관식,동일한 조건에서 백열전구를 더욱 밝게 만들 수 있는 필라멘트 재료는 무엇일까?,금,알루미늄,구리,텅스텐,텅스텐,중석,"전구에 쓰일 필라멘트의 재료를 찾기 위해 수많은 실험을 하였으며, 현재는 필라멘트로 텅스텐이 사용되고 있다.
텅스텐(문화어: 탕그스텐←스웨덴어: tungsten 퉁스텐) 또는 볼프람(문화어: 월프람←독일어: Wolfram), 중석(重石)은 화학 원소로 기호는 W(←라틴어: wolframium 볼프라미움), 원자 번호는 텅스텐이라는 말은 스웨덴어로 '무거운 돌'을 의미하기때문에 위와 같은 한자어(重石)를 쓴다. 
순수한 텅스텐은 전기·전자 분야에 쓰이지만 주로 화합물이나 합금으로 널리 쓰인다. 전구의 필라멘트가 가장 대표적이다.","백열등,
텅스텐",한국어 위키피디아,
48,객관식,상공업 계층의 지지를 받아 유럽으로 확산된 칼뱅파 신교도를 프랑스에서는 무엇이라고 불렀을까?,고이센,청교도,위그노,장로파,위그노,,"어머니 마사는 프랑스의 칼뱅파 신교도인 위그노 신자였으며, 스코틀랜드인과 프랑스인, 아일랜드인의 피가 섞인 혼혈인 여성으로 조지아 주 출신이었다.",시어도어 루스벨트,한국어 위키피디아,
49,객관식,"이 행성에는 2개의 위성이 있으며 마리너 6호 바이킹 1, 2 호 등 많은 우주선들이 탐사에 나선 곳이다. 에베레스트 산의 약 3배 높이라고 알려진 올림푸스 화산이 있는 이 행성은 무엇일까?",화성,토성,해왕성,목성,화성,,"화성에는 태양계에서 가장 높은 산인 올림푸스 화산이 있으며, 역시 태양계에서 가장 큰 계곡인 매리너스 협곡과 극관을 가지고 있다. 
화성은 두 개의 작은 위성을 가지고 있다.
NASA는 계속해서 매리너 계획을 수행했다. 그들은 다음 발사 시간대에 근접 비행 시험을 또다시 수행하였다. 이 비행선들은 1969년에 화성에 도달하였다. 이에 관해서는 매리너 6호 와 7호를 참조하라.
1976년에 두 대의 바이킹 호가 화성 궤도에 들어가 각각 착륙 모듈을 내려 화성 표면에 내려 앉았다.",화성,한국어 위키피디아,
50,객관식,육지 사이에 끼어있고 좁고 긴 바다를 해협이라고 한다. 유라시아 대륙 동단의 시베리아와 북아메리카 대륙 서단의 알래스카 사이에 있으며 이곳을 탐험한 러시아 탐험가의 이름에서 유래한 이 해협의 이름은 무엇일까?,베링 해협,지브롤터 해협,쿡 해협,말라카 해협,베링 해협,베링해협,"베링 해협(-海峽; Bering Strait, 문화어: 베링그 해협)은 아시아 쪽의 데즈네프 곶과 북아메리카 쪽의 프린스오브웨일스 곶 사이의 해협이다. 폭은 85 km, 깊이는 30-50 m 가량 된다. 북쪽으로는 북극해의 일부인 축치 해, 남쪽으로는 태평양의 일부인 베링 해와 연결된다. 덴마크 출신의 러시아 탐험가 비투스 베링을 따라 이름붙여졌다.",베링 해협,한국어 위키피디아,
51,객관식,"'불란서'는 프랑스를, '이태리'는 이탈리아를 한자음으로 표기한 것이다. 그렇다면 '아라사'는 어느 나라일까?",네덜란드,몽골,이라크,러시아,러시아,,아라사(我羅斯) - 러시아,음역어,한국어 위키피디아,
